Team,D/N,Attendance,Date
CHC,N,38403,2009-04-21
CHC,N,38738,2009-04-22
CHC,N,37956,2009-04-30
CHC,N,39112,2009-05-04
CHC,N,39963,2009-05-12
CHC,N,38410,2009-05-13
CHC,N,38942,2009-05-25
CHC,N,38303,2009-05-26
CHC,N,39579,2009-05-28
CHC,N,40091,2009-05-31
CHC,N,40545,2009-07-02
CHC,N,40042,2009-07-06
CHC,N,40359,2009-07-07
CHC,N,41244,2009-07-12
CHC,N,40794,2009-07-27
CHC,N,40814,2009-07-28
CHC,N,41477,2009-08-11
CHC,N,41133,2009-08-12
CHC,N,37297,2009-08-25
CHC,N,36562,2009-08-26
CHC,N,36990,2009-08-31
CHC,N,36332,2009-09-01
CHC,N,38725,2009-09-14
CHC,N,38986,2009-09-15
CHC,N,38084,2009-09-16
CHC,N,35308,2009-09-29
CHC,N,33299,2009-09-30
CHC,N,37850,2010-04-26
CHC,N,37440,2010-04-27
CHC,N,38266,2010-05-10
CHC,N,38007,2010-05-11
CHC,N,35760,2010-05-17
CHC,N,37029,2010-05-18
CHC,N,34749,2010-05-25
CHC,N,35828,2010-05-26
CHC,N,40456,2010-06-13
CHC,N,34390,2010-06-15
CHC,N,36244,2010-06-16
CHC,N,38512,2010-06-28
CHC,N,36914,2010-06-29
CHC,N,40879,2010-07-15
CHC,N,39333,2010-07-18
CHC,N,35514,2010-07-19
CHC,N,36401,2010-07-20
CHC,N,41406,2010-07-25
CHC,N,37731,2010-08-02
CHC,N,36183,2010-08-03
CHC,N,36814,2010-08-16
CHC,N,33664,2010-08-17
CHC,N,29538,2010-08-30
CHC,N,31369,2010-08-31
CHC,N,31596,2010-09-07
CHC,N,33623,2010-09-08
CHC,N,36364,2010-09-21
CHC,N,37285,2010-09-22
CHC,N,34481,2010-09-23
CHC,N,36597,2011-04-18
CHC,N,35095,2011-04-20
CHC,N,37417,2011-04-25
CHC,N,38261,2011-04-26
CHC,N,34249,2011-05-10
CHC,N,34439,2011-05-11
CHC,N,39706,2011-05-14
CHC,N,35707,2011-05-24
CHC,N,36666,2011-05-25
CHC,N,31178,2011-05-31
CHC,N,39070,2011-06-13
CHC,N,39151,2011-06-14
CHC,N,39821,2011-06-15
CHC,N,41828,2011-06-19
CHC,N,38360,2011-06-28
CHC,N,37221,2011-06-29
CHC,N,38145,2011-07-14
CHC,N,38183,2011-07-18
CHC,N,38857,2011-07-19
CHC,N,37109,2011-08-09
CHC,N,38010,2011-08-10
CHC,N,39420,2011-08-21
CHC,N,37061,2011-08-22
CHC,N,36639,2011-08-23
CHC,N,37098,2011-08-24
CHC,N,35297,2011-09-06
CHC,N,36797,2011-09-07
CHC,N,35076,2011-09-19
CHC,N,36571,2011-09-20
CHC,N,38136,2012-04-09
CHC,N,37265,2012-04-10
CHC,N,37794,2012-04-23
CHC,N,38894,2012-04-24
CHC,N,36307,2012-05-07
CHC,N,38523,2012-05-08
CHC,N,38678,2012-05-16
CHC,N,37986,2012-05-17
CHC,N,40228,2012-05-19
CHC,N,41164,2012-06-12
CHC,N,41326,2012-06-13
CHC,N,40766,2012-06-16
CHC,N,38531,2012-06-17
CHC,N,34092,2012-06-25
CHC,N,34064,2012-06-26
CHC,N,36878,2012-07-13
CHC,N,34397,2012-07-17
CHC,N,34934,2012-07-18
CHC,N,33337,2012-07-30
CHC,N,33158,2012-07-31
CHC,N,33397,2012-08-09
CHC,N,31452,2012-08-13
CHC,N,33376,2012-08-14
CHC,N,32541,2012-08-27
CHC,N,30017,2012-08-28
CHC,N,33271,2012-08-29
CHC,N,33017,2012-09-17
CHC,N,32547,2012-09-18
CHC,N,31001,2012-09-19
CHC,N,32167,2012-10-01
CHC,N,33168,2012-10-02
CHC,N,38136,2013-04-09
CHC,N,37265,2013-04-10
CHC,N,37794,2013-04-23
CHC,N,38894,2013-04-24
CHC,N,36307,2013-05-07
CHC,N,38523,2013-05-08
CHC,N,38678,2013-05-16
CHC,N,37986,2013-05-17
CHC,N,40228,2013-05-19
CHC,N,41164,2013-06-12
CHC,N,41326,2013-06-13
CHC,N,40766,2013-06-16
CHC,N,38531,2013-06-17
CHC,N,34092,2013-06-25
CHC,N,34064,2013-06-26
CHC,N,36878,2013-07-13
CHC,N,34397,2013-07-17
CHC,N,34934,2013-07-18
CHC,N,33337,2013-07-30
CHC,N,33158,2013-07-31
CHC,N,33397,2013-08-09
CHC,N,31452,2013-08-13
CHC,N,33376,2013-08-14
CHC,N,32541,2013-08-27
CHC,N,30017,2013-08-28
CHC,N,33271,2013-08-29
CHC,N,33017,2013-09-17
CHC,N,32547,2013-09-18
CHC,N,31001,2013-09-19
CHC,N,32167,2013-10-01
CHC,N,33168,2013-10-02
CHC,N,26177,2014-04-08
CHC,N,28247,2014-04-09
CHC,N,32439,2014-04-21
CHC,N,35381,2014-04-22
CHC,N,30023,2014-05-04
CHC,N,33146,2014-05-05
CHC,N,34305,2014-05-06
CHC,N,38753,2014-05-20
CHC,N,34697,2014-06-03
CHC,N,28185,2014-06-04
CHC,N,28833,2014-06-05
CHC,N,36563,2014-06-21
CHC,N,27747,2014-06-23
CHC,N,28226,2014-06-24
CHC,N,28207,2014-06-25
CHC,N,28867,2014-06-26
CHC,N,32267,2014-06-28
CHC,N,32730,2014-07-22
CHC,N,30718,2014-07-23
CHC,N,31321,2014-07-24
CHC,N,29702,2014-07-28
CHC,N,28590,2014-07-29
CHC,N,29491,2014-07-30
CHC,N,28927,2014-08-11
CHC,N,28819,2014-08-12
CHC,N,31191,2014-08-13
CHC,N,31064,2014-08-19
CHC,N,30633,2014-08-20
CHC,N,30541,2014-08-21
CHC,N,28434,2014-09-02
CHC,N,31251,2014-09-03
CHC,N,33144,2014-09-15
CHC,N,33812,2014-09-16
CHC,N,33500,2014-09-17
CHC,N,33649,2014-09-18
CHC,N,28893,2014-09-22
CHC,N,29754,2014-09-23
CHC,N,33292,2014-09-24
CHC,N,35055,2015-04-05
CHC,N,26390,2015-04-13
CHC,N,27525,2015-04-14
CHC,N,29205,2015-04-15
CHC,N,29159,2015-04-27
CHC,N,29915,2015-04-28
CHC,N,30634,2015-04-29
CHC,N,32980,2015-05-11
CHC,N,31542,2015-05-12
CHC,N,33709,2015-05-13
CHC,N,30440,2015-05-26
CHC,N,34215,2015-05-27
CHC,N,35031,2015-06-11
CHC,N,40693,2015-06-13
CHC,N,33201,2015-06-14
CHC,N,35914,2015-06-16
CHC,N,35147,2015-06-22
CHC,N,36799,2015-06-23
CHC,N,36653,2015-06-24
CHC,N,37898,2015-07-04
CHC,N,37609,2015-07-06
CHC,N,35703,2015-07-07
CHC,N,37993,2015-07-08
CHC,N,35070,2015-07-27
CHC,N,36747,2015-07-28
CHC,N,41242,2015-08-06
CHC,N,37109,2015-08-11
CHC,N,36438,2015-08-12
CHC,N,39684,2015-08-18
CHC,N,40310,2015-08-19
CHC,N,34633,2015-08-20
CHC,N,34017,2015-08-31
CHC,N,33756,2015-09-01
CHC,N,34373,2015-09-21
CHC,N,36270,2015-09-22
CHC,N,37559,2015-09-23
CHC,N,40617,2015-09-27
CHC,N,40552,2015-09-28
CHC,N,35055,2016-04-05
CHC,N,26390,2016-04-13
CHC,N,27525,2016-04-14
CHC,N,29205,2016-04-15
CHC,N,29159,2016-04-27
CHC,N,29915,2016-04-28
CHC,N,30634,2016-04-29
CHC,N,32980,2016-05-11
CHC,N,31542,2016-05-12
CHC,N,33709,2016-05-13
CHC,N,30440,2016-05-26
CHC,N,34215,2016-05-27
CHC,N,35031,2016-06-11
CHC,N,40693,2016-06-13
CHC,N,33201,2016-06-14
CHC,N,35914,2016-06-16
CHC,N,35147,2016-06-22
CHC,N,36799,2016-06-23
CHC,N,36653,2016-06-24
CHC,N,37898,2016-07-04
CHC,N,37609,2016-07-06
CHC,N,35703,2016-07-07
CHC,N,37993,2016-07-08
CHC,N,35070,2016-07-27
CHC,N,36747,2016-07-28
CHC,N,41242,2016-08-06
CHC,N,37109,2016-08-11
CHC,N,36438,2016-08-12
CHC,N,39684,2016-08-18
CHC,N,40310,2016-08-19
CHC,N,34633,2016-08-20
CHC,N,34017,2016-08-31
CHC,N,33756,2016-09-01
CHC,N,34373,2016-09-21
CHC,N,36270,2016-09-22
CHC,N,37559,2016-09-23
CHC,N,40617,2016-09-27
CHC,N,40552,2016-09-28
CHC,N,41166,2017-04-10
CHC,N,40844,2017-04-12
CHC,N,38636,2017-04-17
CHC,N,39026,2017-04-18
CHC,N,38567,2017-05-01
CHC,N,38660,2017-05-02
CHC,N,39335,2017-05-03
CHC,N,40735,2017-05-06
CHC,N,40584,2017-05-07
CHC,N,40653,2017-05-16
CHC,N,38715,2017-05-17
CHC,N,36204,2017-05-22
CHC,N,32905,2017-05-23
CHC,N,35617,2017-05-24
CHC,N,39868,2017-06-04
CHC,N,34037,2017-06-05
CHC,N,34082,2017-06-06
CHC,N,37294,2017-06-07
CHC,N,39385,2017-06-08
CHC,N,40802,2017-06-19
CHC,N,41607,2017-06-20
CHC,N,41865,2017-07-08
CHC,N,41582,2017-07-23
CHC,N,40709,2017-08-01
CHC,N,41321,2017-08-02
CHC,N,40263,2017-08-14
CHC,N,36698,2017-08-15
CHC,N,37021,2017-08-16
CHC,N,38453,2017-08-28
CHC,N,37370,2017-08-29
CHC,N,36628,2017-08-30
CHC,N,38031,2017-08-31
CHC,N,41020,2017-09-08
CHC,N,37834,2017-09-12
CHC,N,36008,2017-09-13
CHC,N,37867,2017-09-14
CHC,N,35596,2018-04-11
CHC,N,35103,2018-04-17
CHC,N,37197,2018-04-26
CHC,N,35922,2018-04-30
CHC,N,40077,2018-05-01
CHC,N,37333,2018-05-07
CHC,N,40051,2018-05-08
CHC,N,37168,2018-05-22
CHC,N,39004,2018-05-23
CHC,N,41250,2018-05-26
CHC,N,41587,2018-05-27
CHC,N,40553,2018-06-05
CHC,N,40275,2018-06-06
CHC,N,40409,2018-06-19
CHC,N,41406,2018-07-19
CHC,N,41244,2018-07-21
CHC,N,40859,2018-07-23
CHC,N,40869,2018-07-24
CHC,N,40714,2018-08-02
CHC,N,36490,2018-08-12
CHC,N,41130,2018-08-23
CHC,N,38935,2018-08-27
CHC,N,37017,2018-08-28
CHC,N,38471,2018-09-10
CHC,N,37017,2018-09-11
CHC,N,40234,2018-09-12
CHC,N,36468,2018-09-14
CHC,N,34570,2018-09-24
CHC,N,33443,2018-09-25
CHC,N,32874,2018-09-26
CHC,N,38415,2018-09-27
